utterance,visId,gt,dataset,gtId,id
Please generate a heatmap and marginal histograms that illustrate the distribution of specimens and percentage.,exp-10,"{'spacing': 15, 'bounds': 'flush', 'vconcat': [{'mark': 'bar', 'height': 60, 'encoding': {'x': {'bin': True, 'field': 'specimens', 'axis': None}, 'y': {'aggregate': 'count'}}}, {'spacing': 15, 'bounds': 'flush', 'hconcat': [{'mark': 'rect', 'encoding': {'x': {'bin': True, 'field': 'specimens'}, 'y': {'bin': True, 'field': 'percentage'}, 'color': {'aggregate': 'count'}}}, {'mark': 'bar', 'width': 60, 'encoding': {'y': {'bin': True, 'field': 'percentage', 'axis': None}, 'x': {'aggregate': 'count'}}}]}], 'config': {'view': {'stroke': 'transparent'}}, 'data': {'url': 'covid19_variant.json'}}",covid19_variant,exp-10,exp-10
Draw a bar chart to display the sum of match id compared to gold.,exp-11,"{'height': {'step': 17}, 'mark': {'type': 'bar'}, 'encoding': {'y': {'field': 'gold'}, 'x': {'aggregate': 'sum', 'field': 'match id'}}, 'data': {'url': 'ROV.json'}}",rov,exp-11,exp-11
"Generate a bar chart to visualize the count of children, sorted from most to least?",exp-12,"{'mark': {'type': 'bar'}, 'encoding': {'x': {'field': 'children', 'sort': {'op': 'count', 'order': 'descending'}}, 'y': {'aggregate': 'count'}}, 'data': {'url': 'presidents.json'}}",presidents,exp-12,exp-12
Please draw a box plot about the distribution of day.,exp-13,"{'mark': {'type': 'boxplot'}, 'encoding': {'x': {'field': 'day', 'type': 'quantitative', 'scale': {'zero': False}}}, 'data': {'url': 'CPI.json'}}",cpi,exp-13,exp-13
"Create a scatterplot with x_coord_cd and zip codes as the axes, using orange rectangles as marks.",exp-14,"{'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'zip codes', 'type': 'quantitative'}, 'y': {'field': 'x_coord_cd', 'type': 'quantitative'}, 'color': {'value': '#ff9900'}, 'shape': {'value': 'square'}}, 'data': {'url': 'NYPD_Shooting_Incident_Data__Year_To_Date_.json'}}",nypd_shooting_incident_data__year_to_date_,exp-14,exp-14
"Create a stacked bar chart to compare the number of different ship modes and segments, colored by segments.",exp-15,"{'mark': {'type': 'bar'}, 'encoding': {'x': {'field': 'ship mode', 'type': 'nominal'}, 'y': {'aggregate': 'count', 'type': 'quantitative'}, 'color': {'field': 'segment', 'type': 'nominal'}}, 'data': {'url': 'SampleSuperstore.json'}}",samplesuperstore,exp-15,exp-15
"Please draw a scatterplot comparing bronze and gold, using square marks.",exp-16,"{'mark': {'type': 'square'}, 'encoding': {'x': {'field': 'bronze', 'type': 'quantitative'}, 'y': {'field': 'gold', 'type': 'quantitative'}}, 'data': {'url': 'Valorant_pc_game_players.json'}}",valorant_pc_game_players,exp-16,exp-16
"Create a point visualization that has binned discount on the x-axis, binned sales on the y-axis, and the number of counts on the size of each point.",exp-17,"{'mark': {'type': 'point'}, 'encoding': {'x': {'bin': {'maxbins': 10}, 'field': 'discount'}, 'y': {'bin': {'maxbins': 10}, 'field': 'sales'}, 'size': {'aggregate': 'count'}}, 'data': {'url': 'SampleSuperstore.json'}}",samplesuperstore,exp-17,exp-17
"Can you draw a box plot showing the median, min, and max of weights for different breed codes?",exp-18,"{'mark': {'type': 'boxplot', 'extent': 'min-max'}, 'encoding': {'y': {'field': 'breed_code', 'type': 'nominal'}, 'x': {'field': 'weight', 'type': 'quantitative', 'scale': {'zero': False}}}, 'data': {'url': 'dogs.json'}}",dogs,exp-18,exp-18
The count of clubs shown in a pie chart.,exp-19,"{'mark': {'type': 'arc'}, 'encoding': {'theta': {'type': 'quantitative', 'aggregate': 'count'}, 'color': {'field': 'club', 'type': 'nominal'}}, 'data': {'url': 'EPL_Soccer_MLR_LR.json'}}",epl_soccer_mlr_lr,exp-19,exp-19
Represent the correlation between transported and vip using a strip plot with grids.,exp-20,"{'mark': {'type': 'tick'}, 'encoding': {'x': {'field': 'transported', 'type': 'quantitative'}, 'y': {'field': 'vip', 'type': 'nominal', 'axis': {'grid': True, 'tickBand': 'extent'}}}, 'data': {'url': 'Cleaned and imputed data 2.json'}}",cleaned and imputed data 2,exp-20,exp-20
Draw a line chart to display the sum of nc_sos_adj_em over time.,exp-21,"{'mark': {'type': 'line'}, 'encoding': {'x': {'field': 'season', 'type': 'temporal'}, 'y': {'field': 'nc_sos_adj_em', 'type': 'quantitative', 'aggregate': 'sum'}}, 'data': {'url': 'Kenpom-leaky.json'}}",kenpom-leaky,exp-21,exp-21
"Represent sell with a vertical histogram, displaying the mean in a red line.",exp-22,"{'layer': [{'mark': 'bar', 'encoding': {'x': {'field': 'sell', 'bin': True}, 'y': {'aggregate': 'count'}}}, {'mark': 'rule', 'encoding': {'x': {'aggregate': 'mean', 'field': 'sell'}, 'color': {'value': 'red'}, 'size': {'value': 5}}}], 'data': {'url': 'currency.json'}}",currency,exp-22,exp-22
Draw a radial histogram of theft.,exp-23,"{'layer': [{'mark': {'type': 'arc', 'stroke': 'white', 'tooltip': True}}, {'mark': {'type': 'text', 'radiusOffset': 15, 'align': 'right'}, 'encoding': {'text': {'bin': True, 'field': 'theft'}, 'angle': {'bin': True, 'field': 'theft', 'scale': {'range': [90, 450]}}}}], 'encoding': {'theta': {'bin': True, 'field': 'theft'}, 'radius': {'aggregate': 'count', 'scale': {'type': 'sqrt'}}}, 'config': {'view': {'stroke': None}}, 'data': {'url': 'crime_data_bangladesh.json'}}",crime_data_bangladesh,exp-23,exp-23
Draw a line chart of max temperature over time?,exp-24,"{'mark': {'type': 'line'}, 'encoding': {'x': {'field': 'date', 'type': 'temporal'}, 'y': {'field': 'max_temperature_f', 'type': 'quantitative'}}, 'data': {'url': 'weather.json'}}",weather,exp-24,exp-24
A pie chart with count on theta and division on color.,exp-25,"{'mark': {'type': 'arc'}, 'encoding': {'theta': {'type': 'quantitative', 'aggregate': 'count'}, 'color': {'field': 'division', 'type': 'nominal'}}, 'data': {'url': 'teams.json'}}",teams,exp-25,exp-25
"Generate a bar chart with the number of prices as the x-axis and the types of extra sause as the y-axis, in order from least to greatest.",exp-26,"{'mark': {'type': 'bar'}, 'encoding': {'y': {'field': 'extra_sauce', 'type': 'nominal', 'sort': {'op': 'sum', 'field': 'price_cad'}}, 'x': {'aggregate': 'sum', 'field': 'price_cad'}}, 'data': {'url': 'pizza_v2.json'}}",pizza_v2,exp-26,exp-26
A bot plot with gold on x.,exp-27,"{'mark': {'type': 'boxplot'}, 'encoding': {'x': {'field': 'gold', 'type': 'quantitative', 'scale': {'zero': False}}}, 'data': {'url': 'ROV.json'}}",rov,exp-27,exp-27
Please generate a histogram of internet business using a maximum of 20 bins.,exp-28,"{'mark': {'type': 'bar'}, 'encoding': {'x': {'bin': {'maxbins': 20}, 'field': 'internet business'}, 'y': {'aggregate': 'count'}}, 'data': {'url': 'google-trends-microbusiness-smallbusiness-internetbusiness-sidejob.json'}}",google-trends-microbusiness-smallbusiness-internetbusiness-sidejob,exp-28,exp-28
Make a horizontal box plot of tonnage for different types and show the mean values when hovered?,exp-29,"{'mark': {'type': 'boxplot'}, 'encoding': {'y': {'field': 'type', 'type': 'nominal'}, 'x': {'field': 'tonnage', 'type': 'quantitative', 'scale': {'zero': False}}, 'tooltip': {'field': 'tonnage', 'aggregate': 'mean'}}, 'data': {'url': 'ship.json'}}",ship,exp-29,exp-29
"Can you draw a horizontal histogram of prices, with a bin space of 3 and sorted in descending order on the x-axis? ",exp-30,"{'mark': {'type': 'bar', 'binSpacing': 3}, 'encoding': {'x': {'bin': True, 'field': 'price_cad', 'scale': {'reverse': True}}, 'y': {'aggregate': 'count'}}, 'data': {'url': 'pizza_v2.json'}}",pizza_v2,exp-30,exp-30
Draw a strip plot with grids to show the relationship between diameters and prices.,exp-31,"{'mark': {'type': 'tick'}, 'encoding': {'x': {'field': 'price_cad', 'type': 'quantitative'}, 'y': {'field': 'diameter', 'type': 'nominal', 'axis': {'grid': True, 'tickBand': 'extent'}}}, 'data': {'url': 'pizza_v2.json'}}",pizza_v2,exp-31,exp-31
Generate a area chart to demonstrate the density of internet business? ,exp-32,"{'width': 400, 'height': 100, 'transform': [{'density': 'internet business'}], 'mark': {'type': 'area'}, 'encoding': {'x': {'field': 'value', 'type': 'quantitative'}, 'y': {'field': 'density', 'type': 'quantitative'}}, 'data': {'url': 'google-trends-microbusiness-smallbusiness-internetbusiness-sidejob.json'}}",google-trends-microbusiness-smallbusiness-internetbusiness-sidejob,exp-32,exp-32
"For each division, draw a scatterplot comparing private and ncaa_id.",exp-33,"{'mark': {'type': 'point'}, 'encoding': {'column': {'field': 'division'}, 'x': {'field': 'private', 'type': 'nominal', 'scale': {'zero': False}}, 'y': {'field': 'ncaa_id', 'type': 'quantitative', 'scale': {'zero': False}}, 'opacity': {'value': 1}}, 'data': {'url': 'teams.json'}}",teams,exp-33,exp-33
Plot free_throw_perc versus rank using filled points on a scatterplot.,exp-34,"{'mark': {'type': 'point', 'filled': True}, 'encoding': {'x': {'field': 'rank', 'type': 'quantitative'}, 'y': {'field': 'free_throw_perc', 'type': 'quantitative'}}, 'data': {'url': 'nba_cleaned.json'}}",nba_cleaned,exp-34,exp-34
"Create a stacked bar chart with rounded corners to illustrate the count of different companies and extra sause types, with the colors representing the extra sause types. ",exp-35,"{'mark': {'type': 'bar'}, 'encoding': {'x': {'field': 'company', 'type': 'nominal'}, 'y': {'aggregate': 'count'}, 'color': {'field': 'extra_sauce'}}, 'config': {'bar': {'cornerRadiusTopLeft': 8, 'cornerRadiusTopRight': 8}}, 'data': {'url': 'pizza_v2.json'}}",pizza_v2,exp-35,exp-35
Generate a min-max vertical box plot to compare ages across different nationalities.,exp-36,"{'mark': {'type': 'boxplot', 'extent': 'min-max'}, 'encoding': {'x': {'field': 'nationality', 'type': 'nominal'}, 'color': {'field': 'nationality', 'type': 'nominal', 'legend': None}, 'y': {'field': 'age', 'type': 'quantitative', 'scale': {'zero': False}}}, 'data': {'url': 'journalist.json'}}",journalist,exp-36,exp-36
Create a scatterplot without grids to compare woman_child_repression and murder.,exp-37,"{'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'woman_child_repression', 'type': 'quantitative'}, 'y': {'field': 'murder', 'type': 'quantitative'}}, 'config': {'axis': {'domain': False, 'grid': False}}, 'data': {'url': 'crime_data_bangladesh.json'}}",crime_data_bangladesh,exp-37,exp-37
"Create a bar chart displaying the total of incident keys for different city council districts, sorted from least to greatest.",exp-38,"{'mark': {'type': 'bar'}, 'encoding': {'y': {'field': 'city council districts', 'type': 'nominal', 'sort': {'op': 'sum', 'field': 'incident_key'}}, 'x': {'aggregate': 'sum', 'field': 'incident_key'}}, 'data': {'url': 'NYPD_Shooting_Incident_Data__Year_To_Date_.json'}}",nypd_shooting_incident_data__year_to_date_,exp-38,exp-38
Can you show me a scatterplot that reveals the connection between minutes and winner rank points?,exp-39,"{'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'minutes', 'type': 'quantitative'}, 'y': {'field': 'winner_rank_points', 'type': 'quantitative'}}, 'data': {'url': 'matches.json'}}",matches,exp-39,exp-39
Could you please create a scatterplot of diameter and prices with tooltips upon hovering?,exp-40,"{'mark': {'type': 'point', 'tooltip': True}, 'encoding': {'x': {'field': 'diameter', 'type': 'quantitative'}, 'y': {'field': 'price_cad', 'type': 'quantitative'}}, 'data': {'url': 'pizza_v2.json'}}",pizza_v2,exp-40,exp-40
Draw a pie chart to illustrate the count of positions.,exp-41,"{'mark': {'type': 'arc'}, 'encoding': {'theta': {'type': 'quantitative', 'aggregate': 'count'}, 'color': {'field': 'position', 'type': 'nominal'}}, 'data': {'url': 'ROV.json'}}",rov,exp-41,exp-41
"Design a bar chart that plots the sum of goals along the x-axis, and the clubs along the y-axis.",exp-42,"{'height': {'step': 17}, 'mark': {'type': 'bar'}, 'encoding': {'y': {'field': 'club', 'type': 'nominal', 'sort': '-x'}, 'x': {'aggregate': 'sum', 'field': 'goals'}}, 'data': {'url': 'EPL_Soccer_MLR_LR.json'}}",epl_soccer_mlr_lr,exp-42,exp-42
Represent the ages with a histogram? ,exp-43,"{'mark': {'type': 'bar'}, 'encoding': {'x': {'bin': True, 'field': 'age'}, 'y': {'aggregate': 'count'}}, 'data': {'url': 'nba_cleaned.json'}}",nba_cleaned,exp-43,exp-43
Draw a bar chart to demonstrate the sum of prices.,exp-44,"{'mark': {'type': 'bar'}, 'encoding': {'x': {'aggregate': 'sum', 'field': 'price (us$)'}}, 'data': {'url': 'auction_2023.json'}}",auction_2023,exp-44,exp-44
"Please draw a bubbleplot with murder on the x-axis, riot on the y-axis, and binned recovery cases on the size of the bubbles.",exp-45,"{'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'riot ', 'type': 'quantitative'}, 'y': {'field': 'murder', 'type': 'quantitative'}, 'size': {'field': 'recovery_cases_arms_act', 'type': 'quantitative'}}, 'data': {'url': 'crime_data_bangladesh.json'}}",crime_data_bangladesh,exp-45,exp-45
Make a line chart to demonstrate adj_o across date with different stroke dash for each conference.,exp-46,"{'mark': {'type': 'line'}, 'encoding': {'x': {'field': 'season', 'type': 'temporal'}, 'y': {'field': 'adj_o', 'type': 'quantitative'}, 'strokeDash': {'field': 'conference', 'type': 'nominal'}}, 'data': {'url': 'Kenpom-leaky.json'}}",kenpom-leaky,exp-46,exp-46
Draw a scatterplot depicting rank and sos_adj_d_rank with orange rectangles as marks.,exp-47,"{'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'rank', 'type': 'quantitative'}, 'y': {'field': 'sos_adj_d_rank', 'type': 'quantitative'}, 'color': {'value': '#ff9900'}, 'shape': {'value': 'square'}}, 'data': {'url': 'Kenpom-leaky.json'}}",kenpom-leaky,exp-47,exp-47
Draw an area chart that plots the sum of win shares along the x-axis and year along the y-axis.,exp-48,"{'mark': {'type': 'area', 'interpolate': 'monotone'}, 'encoding': {'x': {'aggregate': 'sum', 'field': 'win_shares'}, 'y': {'timeUnit': 'year', 'field': 'season'}}, 'data': {'url': 'nba_cleaned.json'}}",nba_cleaned,exp-48,exp-48
Use line charts to represent the buying across date with different stroke dash for each currency type.,exp-49,"{'mark': {'type': 'line'}, 'encoding': {'x': {'field': 'date', 'type': 'temporal'}, 'y': {'field': 'buying', 'type': 'quantitative'}, 'strokeDash': {'field': 'currency', 'type': 'nominal'}}, 'data': {'url': 'currency.json'}}",currency,exp-49,exp-49
"Draw a point visualization with binned damage taken on the x-axis, binned play id on the y-axis, and the count on the size of the points.",exp-50,"{'mark': {'type': 'point'}, 'encoding': {'x': {'bin': {'maxbins': 10}, 'field': 'damage taken'}, 'y': {'bin': {'maxbins': 10}, 'field': 'player id'}, 'size': {'aggregate': 'count'}}, 'data': {'url': 'ROV.json'}}",rov,exp-50,exp-50
Draw a visualization showing the relationship between level and gold with binned match ids on point opacity.,exp-51,"{'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'level', 'type': 'quantitative'}, 'y': {'field': 'gold', 'type': 'quantitative'}, 'opacity': {'bin': True, 'field': 'match id'}}, 'data': {'url': 'ROV.json'}}",rov,exp-51,exp-51
Draw a heatmap showing the counts broken by score and distance covered.,exp-52,"{'mark': {'type': 'rect'}, 'width': 300, 'height': 200, 'encoding': {'x': {'bin': {'maxbins': 60}, 'field': 'distancecovered(inkms)', 'type': 'quantitative'}, 'y': {'bin': {'maxbins': 40}, 'field': 'score', 'type': 'quantitative'}, 'color': {'aggregate': 'count', 'type': 'quantitative'}}, 'config': {'view': {'stroke': 'transparent'}}, 'data': {'url': 'EPL_Soccer_MLR_LR.json'}}",epl_soccer_mlr_lr,exp-52,exp-52
Draw a scatterplot of discounts and postal codes. Add a trendline showing the correlation.,exp-53,"{'layer': [{'mark': {'type': 'point', 'filled': True}, 'encoding': {'x': {'field': 'discount', 'type': 'quantitative'}, 'y': {'field': 'postal code', 'type': 'quantitative'}}}, {'mark': {'type': 'line', 'color': 'firebrick'}, 'transform': [{'regression': 'postal code', 'on': 'discount'}], 'encoding': {'x': {'field': 'discount', 'type': 'quantitative'}, 'y': {'field': 'postal code', 'type': 'quantitative'}}}, {'transform': [{'regression': 'postal code', 'on': 'discount', 'params': True}, {'calculate': ""'R²: '+format(datum.rSquared, '.2f')"", 'as': 'R2'}], 'mark': {'type': 'text', 'color': 'firebrick', 'x': 'width', 'align': 'right', 'y': -5}, 'encoding': {'text': {'type': 'nominal', 'field': 'R2'}}}], 'data': {'url': 'SampleSuperstore.json'}}",samplesuperstore,exp-53,exp-53
Create a strip plot to illustrate the distribution of sells in descending order.,exp-54,"{'mark': {'type': 'tick'}, 'encoding': {'x': {'field': 'sell', 'type': 'quantitative', 'sort': 'descending'}}, 'data': {'url': 'currency.json'}}",currency,exp-54,exp-54
"What is the mean and confidence interval of years for each competition type. Show me an error bar visualization with black points showing the mean value. 
",exp-55,"{'layer': [{'mark': {'type': 'errorbar', 'extent': 'ci'}, 'encoding': {'x': {'field': 'year', 'type': 'quantitative', 'scale': {'zero': False}}, 'y': {'field': 'competition_type', 'type': 'ordinal'}}}, {'mark': {'type': 'point', 'filled': True, 'color': 'black'}, 'encoding': {'x': {'field': 'year', 'type': 'quantitative', 'aggregate': 'mean'}, 'y': {'field': 'competition_type', 'type': 'ordinal'}}}], 'data': {'url': 'competition.json'}}",competition,exp-55,exp-55
"Generate a scatterplot that displays close and open values, with returns on color.",exp-56,"{'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'open', 'type': 'quantitative'}, 'y': {'field': 'close', 'type': 'quantitative'}, 'color': {'field': 'returns', 'type': 'quantitative'}}, 'data': {'url': 'Brazilian Corn Futures.json'}}",brazilian corn futures,exp-56,exp-56
Produce a boxplot with tooltips to display the distribution of payment for different methods!,exp-57,"{'mark': {'type': 'boxplot'}, 'encoding': {'y': {'field': 'payment_method_code', 'type': 'nominal'}, 'x': {'field': 'amount_payment', 'type': 'quantitative', 'scale': {'zero': False}}, 'tooltip': {'field': 'amount_payment', 'type': 'quantitative'}}, 'data': {'url': 'payments.json'}}",payments,exp-57,exp-57
"Draw a scatterplot with retention cost and assessed value on the axes, and the size representing the counts, binning both continous variables!",exp-58,"{'mark': {'type': 'point'}, 'encoding': {'x': {'bin': {'maxbins': 10}, 'field': 'retention cost'}, 'y': {'bin': {'maxbins': 10}, 'field': 'assessed value'}, 'size': {'aggregate': 'count'}}, 'data': {'url': 'Refined_TK_data.json'}}",refined_tk_data,exp-58,exp-58
"Create a stacked bar chart that shows the sum of day on the y-axis, year on the x-axis, and month on color.",exp-59,"{'mark': {'type': 'bar'}, 'encoding': {'x': {'field': 'year'}, 'y': {'aggregate': 'sum', 'field': 'day'}, 'color': {'field': 'month'}}, 'data': {'url': 'CPI.json'}}",cpi,exp-59,exp-59
Draw a scatterplot to visualize the relationship between burglary and speedy_trial with a trend line showing the correlation.,exp-60,"{'layer': [{'mark': {'type': 'point', 'filled': True}, 'encoding': {'x': {'field': 'burglary', 'type': 'quantitative'}, 'y': {'field': 'speedy_trial', 'type': 'quantitative'}}}, {'mark': {'type': 'line'}, 'transform': [{'regression': 'speedy_trial', 'on': 'burglary'}], 'encoding': {'x': {'field': 'burglary', 'type': 'quantitative'}, 'y': {'field': 'speedy_trial', 'type': 'quantitative'}}}, {'transform': [{'regression': 'speedy_trial', 'on': 'burglary', 'params': True}, {'calculate': ""'R²: '+format(datum.rSquared, '.2f')"", 'as': 'R2'}], 'mark': {'type': 'text', 'color': 'firebrick', 'x': 'width', 'align': 'right', 'y': -5}, 'encoding': {'text': {'type': 'nominal', 'field': 'R2'}}}], 'data': {'url': 'crime_data_bangladesh.json'}}",crime_data_bangladesh,exp-60,exp-60
Construct a boxplot with tooltips to reveal the distribution of prominence for different countries?,exp-61,"{'mark': {'type': 'boxplot'}, 'encoding': {'y': {'field': 'country', 'type': 'nominal'}, 'x': {'field': 'prominence', 'type': 'quantitative', 'scale': {'zero': False}}, 'tooltip': {'field': 'prominence', 'type': 'quantitative'}}, 'data': {'url': 'mountain.json'}}",mountain,exp-61,exp-61
"Create a graph showing the transaction amount over time, with different colors representing the type of transaction.",exp-62,"{'mark': {'type': 'line'}, 'encoding': {'x': {'field': 'transaction_date', 'type': 'temporal'}, 'y': {'field': 'transaction_amount', 'type': 'quantitative'}, 'color': {'field': 'transaction_type', 'type': 'nominal'}}, 'data': {'url': 'financial_transactions.json'}}",financial_transactions,exp-62,exp-62
"Please make a scatterplot with price cad on the x-axis and diameters on the y-axis, with no grid lines.",exp-63,"{'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'price_cad', 'type': 'quantitative'}, 'y': {'field': 'diameter', 'type': 'quantitative'}}, 'config': {'axis': {'domain': False, 'grid': False}}, 'data': {'url': 'pizza_v2.json'}}",pizza_v2,exp-63,exp-63
Please create a pie chart to show the sum of ncaa_id for each division. ,exp-64,"{'mark': {'type': 'arc'}, 'encoding': {'theta': {'field': 'ncaa_id', 'type': 'quantitative', 'aggregate': 'sum'}, 'color': {'field': 'division', 'type': 'nominal'}}, 'data': {'url': 'teams.json'}}",teams,exp-64,exp-64
"Create small multiple histograms to visualize the distribution of obs values, comparing the different groups of obs types.",exp-65,"{'mark': {'type': 'bar'}, 'encoding': {'x': {'bin': {'maxbins': 15}, 'field': 'obs_value', 'type': 'quantitative'}, 'y': {'aggregate': 'count', 'type': 'quantitative'}, 'row': {'field': 'obs_flag', 'type': 'nominal'}}, 'data': {'url': 'prc_hpi_a__custom_5188771_page_linear.json'}}",prc_hpi_a__custom_5188771_page_linear,exp-65,exp-65
Can you show me a scatterplot that reveals the connection between incident_key and y_coord_cd?,exp-66,"{'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'incident_key', 'type': 'quantitative'}, 'y': {'field': 'y_coord_cd', 'type': 'quantitative'}}, 'data': {'url': 'NYPD_Shooting_Incident_Data__Year_To_Date_.json'}}",nypd_shooting_incident_data__year_to_date_,exp-66,exp-66
Produce a min-max vertical box plot to compare the base prices of different decors?,exp-67,"{'mark': {'type': 'boxplot', 'extent': 'min-max'}, 'encoding': {'x': {'field': 'decor', 'type': 'nominal'}, 'color': {'field': 'decor', 'type': 'nominal', 'legend': None}, 'y': {'field': 'baseprice', 'type': 'quantitative', 'scale': {'zero': False}}}, 'data': {'url': 'rooms.json'}}",rooms,exp-67,exp-67
" Create a bar chart to illustrate the average volume for each month, along with a red line that depicts the average values.",exp-68,"{'layer': [{'mark': 'bar', 'encoding': {'x': {'timeUnit': 'month', 'field': 'date', 'type': 'ordinal'}, 'y': {'aggregate': 'mean', 'field': 'volume', 'type': 'quantitative'}}}, {'mark': 'rule', 'encoding': {'y': {'aggregate': 'mean', 'field': 'volume', 'type': 'quantitative'}, 'color': {'value': 'firebrick'}, 'size': {'value': 3}}}], 'data': {'url': 'Brazilian Corn Futures.json'}}",brazilian corn futures,exp-68,exp-68
"Create a bar chart showing the count of student ids, listed from greatest to least.",exp-69,"{'mark': {'type': 'bar'}, 'encoding': {'x': {'field': 'student_id', 'sort': {'op': 'count', 'order': 'descending'}}, 'y': {'aggregate': 'count'}}, 'data': {'url': 'student_addresses.json'}}",student_addresses,exp-69,exp-69
"Create a scatterplot with shopping mall on the x-axis, spa on the y-axis, cryosleep as a color, and vrdeck as size, represented with a custom star mark.",exp-70,"{'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'shoppingmall', 'type': 'quantitative'}, 'y': {'field': 'spa', 'type': 'quantitative'}, 'color': {'field': 'cryosleep', 'type': 'nominal'}, 'size': {'field': 'vrdeck', 'type': 'quantitative'}, 'shape': {'value': 'M0,0.2L0.2351,0.3236 0.1902,0.0618 0.3804,-0.1236 0.1175,-0.1618 0,-0.4 -0.1175,-0.1618 -0.3804,-0.1236 -0.1902,0.0618 -0.2351,0.3236 0,0.2Z'}}, 'data': {'url': 'Cleaned and imputed data 2.json'}}",cleaned and imputed data 2,exp-70,exp-70
