id,utterance,dataset,gt,gtId,maintable,dataset2
VIS_2777,"Draw a bar chart about the distribution of ACC_Road and the amount of ACC_Road , and group by attribute ACC_Road, and order by the ACC_Road in desc.",university_basketball_basketball_match,"{'data': {'url': 'basketball_match.csv'}, 'encoding': {'x': {'field': 'acc_road', 'type': 'nominal', 'sort': 'descending'}, 'y': {'aggregate': 'count', 'type': 'quantitative', 'field': 'acc_road'}}, 'transform': [], 'mark': 'bar'}",VIS_2777,university_basketball_basketball_match,VIS_2777
VIS_1462,"Show the total number of the first year of parties with the theme ""Spring"" or ""Teqnology"" with a bar chart, and display in desc by the Y.",party_host_party,"{'data': {'url': 'party.csv'}, 'encoding': {'x': {'field': 'first_year', 'type': 'ordinal', 'sort': '-y'}, 'y': {'aggregate': 'count', 'type': 'quantitative', 'field': 'first_year'}}, 'transform': [{'filter': {'or': ['datum.party_theme == ""Spring""', 'datum.party_theme == ""Teqnology""']}}], 'mark': 'bar'}",VIS_1462,party_host_party,VIS_1462
VIS_1676,"Group by all acc road, show me the school id and All_Games_Percent in a scatter plot.",university_basketball_basketball_match,"{'data': {'url': 'basketball_match.csv'}, 'encoding': {'x': {'field': 'school_id', 'type': 'quantitative'}, 'y': {'field': 'all_games_percent', 'type': 'quantitative'}, 'color': {'field': 'acc_road', 'type': 'nominal'}}, 'transform': [], 'mark': 'point'}",VIS_1676,university_basketball_basketball_match,VIS_1676
VIS_5973,"Show maximal lat from each city, show total number in descending order please.",bike_1_station,"{'data': {'url': 'station.csv'}, 'encoding': {'x': {'field': 'city', 'type': 'ordinal', 'sort': '-y'}, 'y': {'aggregate': 'max', 'type': 'quantitative', 'field': 'lat'}}, 'transform': [], 'mark': 'bar'}",VIS_5973,bike_1_station,VIS_5973
VIS_6556,"Show me about the correlation between  School_ID and  ACC_Percent , and group by attribute ACC_Home in a scatter chart.",university_basketball_basketball_match,"{'data': {'url': 'basketball_match.csv'}, 'encoding': {'x': {'field': 'school_id', 'type': 'quantitative'}, 'y': {'field': 'acc_percent', 'type': 'quantitative'}, 'color': {'field': 'acc_home', 'type': 'nominal'}}, 'transform': [], 'mark': 'point'}",VIS_6556,university_basketball_basketball_match,VIS_6556
VIS_3703,"Give me a scatter chart that groups acc road, the x-axis is school id and the y-axis is acc percent.",university_basketball_basketball_match,"{'data': {'url': 'basketball_match.csv'}, 'encoding': {'x': {'field': 'school_id', 'type': 'quantitative'}, 'y': {'field': 'acc_percent', 'type': 'quantitative'}, 'color': {'field': 'acc_road', 'type': 'nominal'}}, 'transform': [], 'mark': 'point'}",VIS_3703,university_basketball_basketball_match,VIS_3703
VIS_3579,"Return a bar chart on what is the average age for each gender?, I want to list by the mean age in descending.",network_2_person,"{'data': {'url': 'person.csv'}, 'encoding': {'x': {'field': 'gender', 'type': 'ordinal', 'sort': '-y'}, 'y': {'aggregate': 'mean', 'type': 'quantitative', 'field': 'age'}}, 'transform': [], 'mark': 'bar'}",VIS_3579,network_2_person,VIS_3579
VIS_5353,"Give me a bar chart to compare the number of departments located in different cities, sort bars from high to low order.",hr_1_locations,"{'data': {'url': 'locations.csv'}, 'encoding': {'x': {'field': 'city', 'type': 'nominal', 'sort': 'descending'}, 'y': {'aggregate': 'count', 'type': 'quantitative', 'field': 'city'}}, 'transform': [], 'mark': 'bar'}",VIS_5353,hr_1_locations,VIS_5353
VIS_3916,"Draw a bar chart of founder versus sum revenue, and show y-axis in descending order.",manufactory_1_manufacturers,"{'data': {'url': 'manufacturers.csv'}, 'encoding': {'x': {'field': 'founder', 'type': 'ordinal', 'sort': '-y'}, 'y': {'aggregate': 'sum', 'type': 'quantitative', 'field': 'revenue'}}, 'transform': [], 'mark': 'bar'}",VIS_3916,manufactory_1_manufacturers,VIS_3916
VIS_1091,Show all calendar dates and bin by year in a line chart.,cre_doc_tracking_db_ref_calendar,"{'data': {'url': 'ref_calendar.csv'}, 'encoding': {'x': {'field': 'calendar_date', 'type': 'ordinal', 'timeUnit': 'year'}, 'y': {'aggregate': 'count', 'type': 'quantitative', 'field': 'calendar_date'}}, 'transform': [], 'mark': 'line'}",VIS_1091,cre_doc_tracking_db_ref_calendar,VIS_1091
VIS_3355,"Return a line chart about the change of Shop_ID over Start_from , sort by the Start_from in ascending.",employee_hire_evaluation_hiring,"{'data': {'url': 'hiring.csv'}, 'encoding': {'x': {'field': 'start_from', 'type': 'ordinal', 'sort': 'ascending'}, 'y': {'field': 'shop_id', 'type': 'quantitative'}}, 'transform': [], 'mark': 'line'}",VIS_3355,employee_hire_evaluation_hiring,VIS_3355
VIS_454,Show the relationship between oldest age and average age in a scatter chart.,dorm_1_student,"{'data': {'url': 'student.csv'}, 'encoding': {'y': {'aggregate': 'mean', 'type': 'quantitative', 'field': 'age'}, 'x': {'aggregate': 'max', 'type': 'quantitative', 'field': 'age'}, 'color': {'field': 'sex', 'type': 'nominal'}}, 'transform': [], 'mark': 'point'}",VIS_454,dorm_1_student,VIS_454
VIS_144,Show me about the distribution of  date_address_to and the average of monthly_rental bin date_address_to by weekday in a bar chart.,behavior_monitoring_student_addresses,"{'data': {'url': 'student_addresses.csv'}, 'encoding': {'x': {'field': 'date_address_to', 'type': 'ordinal', 'timeUnit': 'day', 'sort': '-y'}, 'y': {'aggregate': 'mean', 'type': 'quantitative', 'field': 'monthly_rental'}}, 'transform': [], 'mark': 'bar'}",VIS_144,behavior_monitoring_student_addresses,VIS_144
VIS_1730,Show the location codes and the number of documents in each location with a pie chart.,cre_doc_tracking_db_document_locations,"{'data': {'url': 'document_locations.csv'}, 'encoding': {'theta': {'aggregate': 'count', 'type': 'quantitative'}, 'color': {'field': 'location_code', 'type': 'nominal'}}, 'transform': [], 'mark': 'arc'}",VIS_1730,cre_doc_tracking_db_document_locations,VIS_1730
VIS_3975,"Please draw a bar chart to show the total number of different color, and sort by the Y-axis from high to low.",mountain_photos_photos,"{'data': {'url': 'photos.csv'}, 'encoding': {'x': {'field': 'color', 'type': 'ordinal', 'sort': '-y'}, 'y': {'aggregate': 'count', 'type': 'quantitative', 'field': 'color'}}, 'transform': [], 'mark': 'bar'}",VIS_3975,mountain_photos_photos,VIS_3975
VIS_2962,"Give me a bar chart for mean tonnage of each type, show by the Y in asc.",ship_mission_ship,"{'data': {'url': 'ship.csv'}, 'encoding': {'x': {'field': 'type', 'type': 'ordinal', 'sort': 'y'}, 'y': {'aggregate': 'mean', 'type': 'quantitative', 'field': 'tonnage'}}, 'transform': [], 'mark': 'bar'}",VIS_2962,ship_mission_ship,VIS_2962
VIS_5218,"Plot how many minister by grouped by minister as a bar graph, display y-axis in ascending order.",party_people_party,"{'data': {'url': 'party.csv'}, 'encoding': {'x': {'field': 'minister', 'type': 'ordinal', 'sort': 'y'}, 'y': {'aggregate': 'count', 'type': 'quantitative', 'field': 'minister'}}, 'transform': [], 'mark': 'bar'}",VIS_5218,party_people_party,VIS_5218
VIS_6667,"Bar chart of the total number from each year, and I want to order by the bar in ascending.",wta_1_matches,"{'data': {'url': 'matches.csv'}, 'encoding': {'x': {'field': 'year', 'type': 'ordinal', 'sort': 'ascending'}, 'y': {'aggregate': 'count', 'type': 'quantitative'}}, 'transform': [], 'mark': 'bar'}",VIS_6667,wta_1_matches,VIS_6667
VIS_7174,"Plot the number of home city by grouped by home city as a bar graph, and show from high to low by the Y-axis.",school_bus_driver,"{'data': {'url': 'driver.csv'}, 'encoding': {'x': {'field': 'home_city', 'type': 'ordinal', 'sort': '-y'}, 'y': {'aggregate': 'count', 'type': 'quantitative', 'field': 'home_city'}}, 'transform': [], 'mark': 'bar'}",VIS_7174,school_bus_driver,VIS_7174
VIS_913,"Please give me a bar chart for the total enrollment in each county, could you rank County in descending order?",school_finance_school,"{'data': {'url': 'school.csv'}, 'encoding': {'x': {'field': 'county', 'type': 'nominal', 'sort': 'descending'}, 'y': {'aggregate': 'sum', 'type': 'quantitative', 'field': 'enrollment'}}, 'transform': [], 'mark': 'bar'}",VIS_913,school_finance_school,VIS_913
VIS_1034,Visualize a bar chart about the distribution of  Start_from and the average of Shop_ID bin start_from by weekday.,employee_hire_evaluation_hiring,"{'data': {'url': 'hiring.csv'}, 'encoding': {'x': {'field': 'start_from', 'type': 'ordinal', 'timeUnit': 'day'}, 'y': {'aggregate': 'mean', 'type': 'quantitative', 'field': 'shop_id'}}, 'transform': [], 'mark': 'bar'}",VIS_1034,employee_hire_evaluation_hiring,VIS_1034
VIS_2428,"What are the memories and carriers of phones, show in ascending by the sum memory in g.",phone_market_phone,"{'data': {'url': 'phone.csv'}, 'encoding': {'x': {'field': 'carrier', 'type': 'ordinal', 'sort': 'y'}, 'y': {'aggregate': 'sum', 'type': 'quantitative', 'field': 'memory_in_g'}}, 'transform': [], 'mark': 'bar'}",VIS_2428,phone_market_phone,VIS_2428
VIS_5001,"A bar chart for what are the number of the dates of the latest logon of the students with family name ""Jaskolski"" or ""Langosh""?, and sort in descending by the y-axis.",e_learning_students,"{'data': {'url': 'students.csv'}, 'encoding': {'x': {'field': 'date_of_latest_logon', 'type': 'ordinal', 'timeUnit': 'day', 'sort': '-y'}, 'y': {'aggregate': 'count', 'type': 'quantitative', 'field': 'date_of_latest_logon'}}, 'transform': [{'filter': {'or': ['datum.family_name == ""Jaskolski""', 'datum.family_name == ""Langosh""']}}], 'mark': 'bar'}",VIS_5001,e_learning_students,VIS_5001
VIS_623,"Give me the comparison about School_ID over the All_Games by a bar chart, display total number from low to high order.",university_basketball_basketball_match,"{'data': {'url': 'basketball_match.csv'}, 'encoding': {'x': {'field': 'all_games', 'type': 'ordinal', 'sort': 'y'}, 'y': {'field': 'school_id', 'type': 'quantitative'}}, 'transform': [], 'mark': 'bar'}",VIS_623,university_basketball_basketball_match,VIS_623
VIS_3393,"For all employees who have the letters D or S in their first name, draw a bar chart about the distribution of job_id and the average of salary , and group by attribute job_id, show Y from high to low order.",hr_1_employees,"{'data': {'url': 'employees.csv'}, 'encoding': {'x': {'field': 'job_id', 'type': 'ordinal', 'sort': '-y'}, 'y': {'aggregate': 'mean', 'type': 'quantitative', 'field': 'salary'}}, 'transform': [{'filter': {'or': [""test(regexp('.*D.*'), datum.first_name)"", ""test(regexp('.*S.*'), datum.first_name)""]}}], 'mark': 'bar'}",VIS_3393,hr_1_employees,VIS_3393
VIS_7087,"Compare the number of winery of the wines whose price is bigger than 100, and could you order bar in asc order please?",wine_1_wine,"{'data': {'url': 'wine.csv'}, 'encoding': {'x': {'field': 'winery', 'type': 'nominal', 'sort': 'ascending'}, 'y': {'aggregate': 'count', 'type': 'quantitative', 'field': 'winery'}}, 'transform': [{'filter': 'datum.price > 100.0'}], 'mark': 'bar'}",VIS_7087,wine_1_wine,VIS_7087
VIS_5191,Compare the frequency of the decor of rooms that have a king bed using a bar chart.,inn_1_rooms,"{'data': {'url': 'rooms.csv'}, 'encoding': {'x': {'field': 'decor', 'type': 'ordinal', 'sort': {'field': 'baseprice', 'order': 'ascending'}}, 'y': {'aggregate': 'count', 'type': 'quantitative', 'field': 'decor'}}, 'transform': [{'filter': ""datum.bedtype == 'King'""}], 'mark': 'bar'}",VIS_5191,inn_1_rooms,VIS_5191
VIS_5653,"What is the highest price of product, grouped by product type? Show a pie chart.",department_store_products,"{'data': {'url': 'products.csv'}, 'encoding': {'theta': {'aggregate': 'max', 'field': 'product_price', 'type': 'quantitative'}, 'color': {'field': 'product_type_code', 'type': 'nominal'}}, 'transform': [], 'mark': 'arc'}",VIS_5653,department_store_products,VIS_5653
VIS_1605,"For those employees whose first name does not containing the letter M, display their average salary by binning the hire date into Month interval for visualizing a bar chart.",hr_1_employees,"{'data': {'url': 'employees.csv'}, 'encoding': {'x': {'field': 'hire_date', 'type': 'ordinal', 'timeUnit': 'month'}, 'y': {'aggregate': 'mean', 'type': 'quantitative', 'field': 'salary'}}, 'transform': [{'filter': {'not': ""test(regexp('.*M.*$'), datum.first_name)""}}], 'mark': 'bar'}",VIS_1605,hr_1_employees,VIS_1605
VIS_2891,"Visualize the relationship between  Team_ID and  All_Games_Percent , and group by attribute Team_Name.",university_basketball_basketball_match,"{'data': {'url': 'basketball_match.csv'}, 'encoding': {'x': {'field': 'team_id', 'type': 'quantitative'}, 'y': {'field': 'all_games_percent', 'type': 'quantitative'}, 'color': {'field': 'team_name', 'type': 'nominal'}}, 'transform': [], 'mark': 'point'}",VIS_2891,university_basketball_basketball_match,VIS_2891
VIS_6056,"For those employees who was hired before 2002-06-21, return a bar chart about the distribution of hire_date and the sum of department_id bin hire_date by time, and list by the sum department id from high to low.",hr_1_employees,"{'data': {'url': 'employees.csv'}, 'encoding': {'x': {'field': 'hire_date', 'type': 'ordinal', 'timeUnit': 'month', 'sort': '-y'}, 'y': {'aggregate': 'sum', 'type': 'quantitative', 'field': 'department_id'}}, 'transform': [{'filter': 'datum.hire_date < datetime(2002,6,21)'}], 'mark': 'bar'}",VIS_6056,hr_1_employees,VIS_6056
VIS_4123,"Show me total number of vote id by state in a histogram, and could you rank x axis from high to low order please?",voter_1_votes,"{'data': {'url': 'votes.csv'}, 'encoding': {'x': {'field': 'state', 'type': 'nominal', 'sort': 'descending'}, 'y': {'aggregate': 'sum', 'type': 'quantitative', 'field': 'vote_id'}}, 'transform': [], 'mark': 'bar'}",VIS_4123,voter_1_votes,VIS_4123
VIS_3770,"Plot the average of shop id by grouped by is full time as a bar graph, and I want to rank from high to low by the x-axis.",employee_hire_evaluation_hiring,"{'data': {'url': 'hiring.csv'}, 'encoding': {'x': {'field': 'is_full_time', 'type': 'nominal', 'sort': 'descending'}, 'y': {'aggregate': 'mean', 'type': 'quantitative', 'field': 'shop_id'}}, 'transform': [], 'mark': 'bar'}",VIS_3770,employee_hire_evaluation_hiring,VIS_3770
VIS_883,"What is the average price of the rooms for each different decor? Show me a bar chart!, and I want to order in ascending by the x-axis.",inn_1_rooms,"{'data': {'url': 'rooms.csv'}, 'encoding': {'x': {'field': 'decor', 'type': 'nominal', 'sort': 'ascending'}, 'y': {'aggregate': 'mean', 'type': 'quantitative', 'field': 'baseprice'}}, 'transform': [], 'mark': 'bar'}",VIS_883,inn_1_rooms,VIS_883
VIS_4433,"How many bookings does each booking status have? List the booking status code and the number of corresponding bookings with a bar chart, sort in asc by the total number.",apartment_rentals_apartment_bookings,"{'data': {'url': 'apartment_bookings.csv'}, 'encoding': {'x': {'field': 'booking_status_code', 'type': 'ordinal', 'sort': 'y'}, 'y': {'aggregate': 'count', 'type': 'quantitative'}}, 'transform': [], 'mark': 'bar'}",VIS_4433,apartment_rentals_apartment_bookings,VIS_4433
VIS_6731,"Visualize a bar chart that X-axis is the gender and compute the number of players in each gender as a Y-axis, show from low to high by the X.",riding_club_player,"{'data': {'url': 'player.csv'}, 'encoding': {'x': {'field': 'gender', 'type': 'nominal', 'sort': 'ascending'}, 'y': {'aggregate': 'count', 'type': 'quantitative', 'field': 'gender'}}, 'transform': [], 'mark': 'bar'}",VIS_6731,riding_club_player,VIS_6731
VIS_1318,"Group and count the move in date in a bar chart, and I want to bin the X into Year interval.",local_govt_and_lot_customer_events,"{'data': {'url': 'customer_events.csv'}, 'encoding': {'x': {'field': 'date_moved_in', 'type': 'ordinal', 'timeUnit': 'year'}, 'y': {'aggregate': 'count', 'type': 'quantitative', 'field': 'date_moved_in'}}, 'transform': [], 'mark': 'bar'}",VIS_1318,local_govt_and_lot_customer_events,VIS_1318
VIS_2834,"List the grape and winery of the wines whose price is bigger than 100, visualize them with a stacked bar chart, the x-axis is winery and group the grape, and y-axis is the number of wineries, display by the X in desc.",wine_1_wine,"{'data': {'url': 'wine.csv'}, 'encoding': {'x': {'field': 'winery', 'type': 'nominal', 'sort': 'descending'}, 'y': {'aggregate': 'count', 'type': 'quantitative', 'field': 'winery'}, 'color': {'field': 'grape', 'type': 'nominal'}}, 'transform': [{'filter': 'datum.price > 100.0'}], 'mark': 'bar'}",VIS_2834,wine_1_wine,VIS_2834
VIS_4337,"Show each location and the number of cinemas there Show bar chart, sort y axis from high to low order.",cinema_cinema,"{'data': {'url': 'cinema.csv'}, 'encoding': {'x': {'field': 'location', 'type': 'ordinal', 'sort': '-y'}, 'y': {'aggregate': 'count', 'type': 'quantitative'}}, 'transform': [], 'mark': 'bar'}",VIS_4337,cinema_cinema,VIS_4337
VIS_6580,"Visualize a bar chart to show how many players in each occupation, order X in desc order.",riding_club_player,"{'data': {'url': 'player.csv'}, 'encoding': {'x': {'field': 'occupation', 'type': 'nominal', 'sort': 'descending'}, 'y': {'aggregate': 'count', 'type': 'quantitative', 'field': 'occupation'}}, 'transform': [], 'mark': 'bar'}",VIS_6580,riding_club_player,VIS_6580
VIS_3017,"Compute the total number in each competition type, and then split by country, show in desc by the x-axis.",sports_competition_competition,"{'data': {'url': 'competition.csv'}, 'encoding': {'x': {'field': 'country', 'type': 'nominal', 'sort': 'descending'}, 'y': {'aggregate': 'count', 'type': 'quantitative', 'field': 'country'}, 'color': {'field': 'competition_type', 'type': 'nominal'}}, 'transform': [], 'mark': 'bar'}",VIS_3017,sports_competition_competition,VIS_3017
VIS_1990,"Give me a bar chart for the number of year of each year, and rank total number in desc order.",wine_1_wine,"{'data': {'url': 'wine.csv'}, 'encoding': {'x': {'field': 'year', 'type': 'ordinal', 'timeUnit': 'day', 'sort': '-y'}, 'y': {'aggregate': 'count', 'type': 'quantitative', 'field': 'year'}}, 'transform': [], 'mark': 'bar'}",VIS_1990,wine_1_wine,VIS_1990
VIS_826,"Show me population by county name in a histogram, list by the Population in asc.",election_county,"{'data': {'url': 'county.csv'}, 'encoding': {'x': {'field': 'county_name', 'type': 'ordinal', 'sort': 'y'}, 'y': {'field': 'population', 'type': 'quantitative'}}, 'transform': [], 'mark': 'bar'}",VIS_826,election_county,VIS_826
VIS_2281,"Show different builders of railways, along with the corresponding number of railways using each builder Show bar chart, could you order from high to low by the y axis?",railway_railway,"{'data': {'url': 'railway.csv'}, 'encoding': {'x': {'field': 'builder', 'type': 'ordinal', 'sort': '-y'}, 'y': {'aggregate': 'count', 'type': 'quantitative'}}, 'transform': [], 'mark': 'bar'}",VIS_2281,railway_railway,VIS_2281
VIS_7206,"Visualize a bar chart for how films are produced by each studio?, I want to display in descending by the Y.",film_rank_film,"{'data': {'url': 'film.csv'}, 'encoding': {'x': {'field': 'studio', 'type': 'ordinal', 'sort': '-y'}, 'y': {'aggregate': 'count', 'type': 'quantitative'}}, 'transform': [], 'mark': 'bar'}",VIS_7206,film_rank_film,VIS_7206
